id,carrier,origin_location,destination_location,as_of_date,on_time_rate_90d,shipment_count_90d,computed_at
fe75eb15-f15d-59fd-a31b-4dd8265f56cb,Maersk Line,,,2024-07-01,0.7787,244,2025-10-02 09:21:13+00
a4bc5ef3-7801-5386-9925-51f96a5659e1,EverGreen Marine,,,2024-07-01,0.8159,239,2025-10-02 09:11:58+00
ba866a09-a760-52c2-a2da-23784c71f55c,DHL Freight,,,2024-07-01,0.7414,1315,2025-10-02 09:13:20+00
69d456d2-fc01-5f19-a1a3-e1191dcbc8b1,FedEx Logistics,,,2024-07-01,0.7464,1234,2025-10-02 09:20:26+00
26252d9c-efc7-5616-9feb-bd771bef81de,DB Schenker,,,2024-07-01,0.728,1261,2025-10-02 09:03:05+00
2f55667e-8e6d-5ba5-bb28-b95e13f07595,Maersk Line,,,2024-08-01,0.8018,227,2025-10-02 09:05:33+00
f1e9fcc7-7436-55c1-b4c7-f9b54bc96828,EverGreen Marine,,,2024-08-01,0.8238,210,2025-10-02 09:02:26+00
4cbebe03-08bb-5f43-aa5f-ce74f84da7b6,DHL Freight,,,2024-08-01,0.7411,1147,2025-10-02 09:09:02+00
5b4dadd3-49fb-5861-b726-16163e70965a,FedEx Logistics,,,2024-08-01,0.7544,1128,2025-10-02 09:22:38+00
f96120cd-b721-5473-96d6-1d2ac08dad7a,DB Schenker,,,2024-08-01,0.7502,1149,2025-10-02 09:07:01+00
e145887f-4004-586d-a620-929cdbbde446,Maersk Line,,,2024-09-01,0.7161,236,2025-10-02 09:14:00+00
c5eda25b-58f4-5ee5-9296-77b7dedfd18c,EverGreen Marine,,,2024-09-01,0.8,205,2025-10-02 09:16:09+00
f8ff37d9-3adb-5169-8f11-e4085aefeef5,DHL Freight,,,2024-09-01,0.7158,1112,2025-10-02 09:28:29+00
4ee064cf-7a26-5a4b-b51f-96b2090fdf47,FedEx Logistics,,,2024-09-01,0.7511,1129,2025-10-02 09:12:20+00
23fe3ee0-43bf-5fc2-8cde-23080329668b,DB Schenker,,,2024-09-01,0.7356,1161,2025-10-02 09:20:23+00
e01ea1fe-47b3-5a08-8fc6-157ebb7d2fd1,Maersk Line,,,2024-10-01,0.7549,253,2025-10-02 09:29:41+00
c98c78ce-baeb-53b4-8f16-ca4ed76ca306,EverGreen Marine,,,2024-10-01,0.7951,244,2025-10-02 09:27:04+00
9f77be75-aa47-59af-90d0-9db8e03f70d5,DHL Freight,,,2024-10-01,0.7467,1583,2025-10-02 09:20:31+00
fe400a0f-497c-530d-b644-4fb8de2b4d61,FedEx Logistics,,,2024-10-01,0.7377,1670,2025-10-02 09:09:57+00
89f2f76f-682e-5d0d-b5f6-5ad930649321,DB Schenker,,,2024-10-01,0.7407,1585,2025-10-02 09:07:17+00
12c89bc6-c649-5197-9440-ce0b309b4d06,Maersk Line,,,2024-11-01,0.7735,309,2025-10-02 09:03:07+00
77a32f2d-9d13-56ad-a368-2ed2c34bb971,EverGreen Marine,,,2024-11-01,0.76,300,2025-10-02 09:28:42+00
e11d9ed3-c49a-5337-be6d-ad4d008425ad,DHL Freight,,,2024-11-01,0.7105,2439,2025-10-02 09:18:43+00
baaf56ce-de01-5566-9092-e34642cf7a2c,FedEx Logistics,,,2024-11-01,0.7036,2412,2025-10-02 09:19:45+00
9044fe7a-098a-5b9a-87a0-09f2751b97bf,DB Schenker,,,2024-11-01,0.7132,2406,2025-10-02 09:16:01+00
f1b1d0da-c5f5-5ca6-9a8d-c2a44326cba5,Maersk Line,,,2024-12-01,0.7831,355,2025-10-02 09:17:22+00
5480c0df-d5d6-541b-b6c3-4811b0663438,EverGreen Marine,,,2024-12-01,0.7528,360,2025-10-02 09:20:39+00
39668001-0cac-53eb-8a19-7aa14a68cc88,DHL Freight,,,2024-12-01,0.6892,2876,2025-10-02 09:05:04+00
