id,name,priority_tier,contract_terms,is_active,created_at,updated_at
d6827bcd-2217-50dd-b919-e2615973cd9e,Customer 000,strategic,,true,2025-10-02 09:15:31+00,2025-10-02 09:15:31+00
82154faa-4a8f-5094-9e66-a29cb1b5d3d1,Customer 001,strategic,,true,2025-10-02 09:14:13+00,2025-10-02 09:14:13+00
84932fe2-b7e5-5d4b-a6c0-0f6a7c6c7697,Customer 002,strategic,,true,2025-10-02 09:09:27+00,2025-10-02 09:09:27+00
b5d10f22-4ee1-5e81-9bfd-b8444cd7f135,Customer 003,strategic,,true,2025-10-02 09:27:14+00,2025-10-02 09:27:14+00
57b37dbe-1f1a-504a-8d5b-f2f8211e521c,Customer 004,strategic,,true,2025-10-02 09:10:12+00,2025-10-02 09:10:12+00
3a37cd7d-a21c-5a5c-be88-e36a3a4834b8,Customer 005,strategic,,true,2025-10-02 09:27:18+00,2025-10-02 09:27:18+00
435ed520-80ab-5538-be50-40bd7f496e48,Customer 006,strategic,,true,2025-10-02 09:08:31+00,2025-10-02 09:08:31+00
35176a64-c7ff-53dc-b2d0-d8d97cc7f86f,Customer 007,strategic,,true,2025-10-02 09:14:12+00,2025-10-02 09:14:12+00
b39e36f0-6bb3-5217-bfbe-f8451a3635d6,Customer 008,strategic,,true,2025-10-02 09:22:22+00,2025-10-02 09:22:22+00
82ca6e61-6ac0-5546-8ae6-9a66c3224f86,Customer 009,strategic,,true,2025-10-02 09:24:23+00,2025-10-02 09:24:23+00
3db84242-5edf-5d00-93c2-32b9d7f86c8b,Customer 010,strategic,,true,2025-10-02 09:19:16+00,2025-10-02 09:19:16+00
882df9e5-b9b5-5cb8-bdf2-fc259061c971,Customer 011,strategic,,true,2025-10-02 09:25:51+00,2025-10-02 09:25:51+00
c1cd43be-502d-59a3-9851-b14ae9f42241,Customer 012,strategic,,true,2025-10-02 09:05:27+00,2025-10-02 09:05:27+00
fa10adbb-db7c-551b-8f4b-84ea56b920fa,Customer 013,strategic,,true,2025-10-02 09:27:07+00,2025-10-02 09:27:07+00
6b218674-010f-58ab-b92f-4d298f7b30cb,Customer 014,strategic,,true,2025-10-02 09:10:01+00,2025-10-02 09:10:01+00
2c05e62a-c525-5859-9607-d7f41b04ad2c,Customer 015,strategic,,true,2025-10-02 09:24:22+00,2025-10-02 09:24:22+00
b11e0fe2-d3ca-56c4-87e6-41b0cd51c8b7,Customer 016,strategic,,true,2025-10-02 09:20:57+00,2025-10-02 09:20:57+00
32f71c31-97b9-5805-88b8-62a40829f7da,Customer 017,strategic,,true,2025-10-02 09:06:39+00,2025-10-02 09:06:39+00
69620e0a-b6d8-576c-a2d3-f2b60fc5605c,Customer 018,strategic,,true,2025-10-02 09:05:21+00,2025-10-02 09:05:21+00
