id,product_id,warehouse_id,stock_level,reorder_threshold,updated_at
b34a4d43-5065-5f43-aa3a-da8a42d21d0b,c0f44500-e1d1-59e0-b53b-e0e98b24a7cf,81c0642e-2463-5abd-ae26-b4b567d51419,155,53,2025-10-02 09:27:12+00
3ac9f760-2d5d-5dec-8730-2d99cc0be33b,c0f44500-e1d1-59e0-b53b-e0e98b24a7cf,6400998a-1542-5bd0-baca-290648d04849,324,95,2025-10-02 09:13:15+00
a6cc796d-68ee-5607-b7b3-1396fb01ba3c,c0f44500-e1d1-59e0-b53b-e0e98b24a7cf,6d6d0a34-9f5e-59b5-8834-675b7c7c4f20,177,107,2025-10-02 09:05:03+00
d10d6632-7121-53aa-92c2-fbd75dfb6d94,dfaf50bf-7ed8-5e30-b115-e55c44d8e0c1,8517ed2a-3738-5e12-a1bc-f0e872fd3d71,301,119,2025-10-02 09:06:57+00
48023365-73eb-5959-b371-7d16dee091ff,dfaf50bf-7ed8-5e30-b115-e55c44d8e0c1,6d6d0a34-9f5e-59b5-8834-675b7c7c4f20,120,56,2025-10-02 09:12:28+00
0c9c8fef-b1cc-53bf-b993-0542509d92a5,dfaf50bf-7ed8-5e30-b115-e55c44d8e0c1,81c0642e-2463-5abd-ae26-b4b567d51419,324,91,2025-10-02 09:01:50+00
efd0ce19-8d18-5811-826f-954eaf1a4a0e,5abd18e8-de32-5af1-b593-d3190e9164a5,22113422-0935-5ebd-b323-7908c0e6bfd5,108,48,2025-10-02 09:24:01+00
4be8585a-f03a-5d70-b7c1-d04eb8f7b2a7,5abd18e8-de32-5af1-b593-d3190e9164a5,6400998a-1542-5bd0-baca-290648d04849,163,73,2025-10-02 09:17:15+00
fdecae68-878b-5f40-815d-5c86f7872674,98f9ed1d-3d10-5a68-a387-66981e9dde59,42ad692d-b82d-5a13-91a1-a9fd0fcaf73b,202,95,2025-10-02 09:17:01+00
2b2e83fe-967a-5558-9f54-d23fc242bce9,98f9ed1d-3d10-5a68-a387-66981e9dde59,8517ed2a-3738-5e12-a1bc-f0e872fd3d71,114,50,2025-10-02 09:17:05+00
64af3ea8-a14f-5e27-b672-8af9372ad58d,b8b98483-157a-5ddb-81bf-f65f95613caa,8517ed2a-3738-5e12-a1bc-f0e872fd3d71,124,50,2025-10-02 09:11:49+00
848487ee-c426-5924-a2e1-bb3cbc4a023f,b8b98483-157a-5ddb-81bf-f65f95613caa,6d6d0a34-9f5e-59b5-8834-675b7c7c4f20,144,57,2025-10-02 09:12:06+00
b38e99e9-1a74-5ca1-8f9f-9fa933bfa277,ebdcc5e9-63c3-5a52-9521-f031c6154feb,915b9517-c3e0-56bb-9f5b-959c6c507cc4,214,83,2025-10-02 09:09:46+00
81421f7e-e6d7-5f9e-afe9-3af201a85f12,ebdcc5e9-63c3-5a52-9521-f031c6154feb,22113422-0935-5ebd-b323-7908c0e6bfd5,124,69,2025-10-02 09:00:15+00
bb48524a-bc6d-5e4d-8d61-4f4dd71a9936,6e22d3ea-9fc0-56fa-a367-352e633df40c,6d6d0a34-9f5e-59b5-8834-675b7c7c4f20,194,54,2025-10-02 09:10:33+00
23006a84-47f1-510b-bb4b-99a8925e6530,6e22d3ea-9fc0-56fa-a367-352e633df40c,42ad692d-b82d-5a13-91a1-a9fd0fcaf73b,206,91,2025-10-02 09:01:53+00
a868cc66-f5bc-540a-b6b9-13fec13f39f0,0f7722fa-332a-5a19-922d-1d9cab8dda65,6d6d0a34-9f5e-59b5-8834-675b7c7c4f20,230,101,2025-10-02 09:00:28+00
b24e6a90-065f-554d-8acc-497d76e4423b,0f7722fa-332a-5a19-922d-1d9cab8dda65,42ad692d-b82d-5a13-91a1-a9fd0fcaf73b,172,92,2025-10-02 09:29:35+00
64208133-d168-5fa3-95fc-b13608d27c16,0f7722fa-332a-5a19-922d-1d9cab8dda65,8517ed2a-3738-5e12-a1bc-f0e872fd3d71,89,52,2025-10-02 09:19:34+00
42c20648-4d64-532e-b18e-7d8badc6c826,e3a10959-a74e-5cdd-bd80-3c24836fb062,42ad692d-b82d-5a13-91a1-a9fd0fcaf73b,108,56,2025-10-02 09:02:37+00
aae56437-34f6-5d47-aecc-635dad2dfa49,e3a10959-a74e-5cdd-bd80-3c24836fb062,81c0642e-2463-5abd-ae26-b4b567d51419,175,60,2025-10-02 09:11:26+00
6caa63b7-6e3e-5275-8114-0462bd10b236,6852d7e8-9827-5aa7-a439-140e7dac645a,8517ed2a-3738-5e12-a1bc-f0e872fd3d71,176,84,2025-10-02 09:24:05+00
48db4d75-764c-5f74-9073-99ef5abc1411,6852d7e8-9827-5aa7-a439-140e7dac645a,22113422-0935-5ebd-b323-7908c0e6bfd5,241,114,2025-10-02 09:14:14+00
175688e0-8208-5152-99dc-110d4ba8e7c2,5b72fcba-23c2-5ea7-9dc2-b32eca367733,915b9517-c3e0-56bb-9f5b-959c6c507cc4,27,51,2025-10-02 09:09:42+00
99dbb6a7-5f88-5453-b54f-6dec07d7cd9b,5b72fcba-23c2-5ea7-9dc2-b32eca367733,8517ed2a-3738-5e12-a1bc-f0e872fd3d71,219,102,2025-10-02 09:19:44+00
52cec563-71b1-55bc-9059-e12e8f437a41,c914dcac-18fe-5928-87c0-80e93bb776c2,6400998a-1542-5bd0-baca-290648d04849,213,104,2025-10-02 09:27:30+00
3c08e2d3-c920-51ca-b474-d19a2bbc3fe5,c914dcac-18fe-5928-87c0-80e93bb776c2,8517ed2a-3738-5e12-a1bc-f0e872fd3d71,232,100,2025-10-02 09:02:53+00
70f928db-a5f5-5f73-ac83-ee96dded5a65,d6481438-ce10-5e85-8b0a-fbc48dcd19e7,a71f4bf4-a78e-5fa3-a8bd-e34ee2c97dcd,254,105,2025-10-02 09:26:04+00
035fc1d1-eba5-5a36-b04a-6387c8c84b89,d6481438-ce10-5e85-8b0a-fbc48dcd19e7,915b9517-c3e0-56bb-9f5b-959c6c507cc4,250,116,2025-10-02 09:14:18+00
8f069240-4292-57b2-8b74-b64936bffd45,d6481438-ce10-5e85-8b0a-fbc48dcd19e7,8517ed2a-3738-5e12-a1bc-f0e872fd3d71,183,100,2025-10-02 09:21:37+00
3d408062-920b-5d8e-9518-016dc6dfaac7,015ee94d-a0dc-5a3a-96b4-4318093cd0c8,8517ed2a-3738-5e12-a1bc-f0e872fd3d71,126,43,2025-10-02 09:16:21+00
76bc4fe2-e854-5b02-b1e8-a24a6df60035,015ee94d-a0dc-5a3a-96b4-4318093cd0c8,915b9517-c3e0-56bb-9f5b-959c6c507cc4,61,51,2025-10-02 09:03:08+00
510a4169-b5e1-5d78-94de-6388f89ecc3a,015ee94d-a0dc-5a3a-96b4-4318093cd0c8,22113422-0935-5ebd-b323-7908c0e6bfd5,178,108,2025-10-02 09:13:03+00
0500c697-b4b3-5950-9c02-edbb035c424e,a4acb526-e0ea-590e-9293-ff9e90059c15,42ad692d-b82d-5a13-91a1-a9fd0fcaf73b,95,68,2025-10-02 09:15:52+00
0b0218f2-b743-51b4-8cdc-ce138c96976c,a4acb526-e0ea-590e-9293-ff9e90059c15,6d6d0a34-9f5e-59b5-8834-675b7c7c4f20,154,109,2025-10-02 09:00:56+00
d1d51957-dcc8-5a01-9898-102f91cd1a2c,3ba63656-6a91-5254-8fd9-1b6d20dced02,915b9517-c3e0-56bb-9f5b-959c6c507cc4,254,111,2025-10-02 09:00:02+00
2806c8e2-c007-59af-b793-613f75e8bf86,3ba63656-6a91-5254-8fd9-1b6d20dced02,a71f4bf4-a78e-5fa3-a8bd-e34ee2c97dcd,42,63,2025-10-02 09:22:13+00
cc115201-e767-56df-b946-0fc97445f8f8,3f7c929e-b070-5624-afcb-413255a3e8b7,6d6d0a34-9f5e-59b5-8834-675b7c7c4f20,136,113,2025-10-02 09:01:46+00
c10487d7-2a06-5ea8-a9d7-571e74ecca56,3f7c929e-b070-5624-afcb-413255a3e8b7,6400998a-1542-5bd0-baca-290648d04849,407,115,2025-10-02 09:26:09+00
e99266ce-17a8-5e89-8ba0-16dfa093dac8,fc7fc417-cce4-5f70-a6f1-8ce7a0edf5e9,22113422-0935-5ebd-b323-7908c0e6bfd5,57,45,2025-10-02 09:17:17+00
d1e081b6-6dad-557b-81b2-8343df1afe18,fc7fc417-cce4-5f70-a6f1-8ce7a0edf5e9,8517ed2a-3738-5e12-a1bc-f0e872fd3d71,343,120,2025-10-02 09:15:59+00
e708b018-0a92-504d-ad4b-7be9003221a5,fc7fc417-cce4-5f70-a6f1-8ce7a0edf5e9,a71f4bf4-a78e-5fa3-a8bd-e34ee2c97dcd,279,105,2025-10-02 09:09:10+00
906e3bde-e08d-5080-8c5f-8080e1907aa1,87bd34d0-75d8-568d-abd0-77f535fdb719,81c0642e-2463-5abd-ae26-b4b567d51419,65,60,2025-10-02 09:02:00+00
4f053dcb-bd08-57f0-8845-ac356a1709a1,87bd34d0-75d8-568d-abd0-77f535fdb719,6400998a-1542-5bd0-baca-290648d04849,124,46,2025-10-02 09:01:06+00
b89351b1-3362-5718-bc76-31037602bc47,12d2e257-18af-5ea5-9b8e-109e869b4b9e,42ad692d-b82d-5a13-91a1-a9fd0fcaf73b,71,48,2025-10-02 09:02:38+00
a3de8847-6288-515f-be51-6e22aaf1ecbf,12d2e257-18af-5ea5-9b8e-109e869b4b9e,6d6d0a34-9f5e-59b5-8834-675b7c7c4f20,179,75,2025-10-02 09:25:25+00
f082897d-45a6-57e6-b53c-138db0639fc9,12d2e257-18af-5ea5-9b8e-109e869b4b9e,915b9517-c3e0-56bb-9f5b-959c6c507cc4,59,44,2025-10-02 09:13:36+00
