id,inventory_id,product_id,warehouse_id,stock_level,reorder_threshold,observed_at,recorded_at,source
617e84a0-3b85-5360-ac7b-65085e19fbb6,b34a4d43-5065-5f43-aa3a-da8a42d21d0b,c0f44500-e1d1-59e0-b53b-e0e98b24a7cf,81c0642e-2463-5abd-ae26-b4b567d51419,186,94,2024-01-01 14:41:01+00,2024-01-01 16:05:01+00,wms_sync
f91e2ece-b0f6-52af-80f5-308c0939db17,dd798cec-0438-5791-840a-69609f2884c6,c0f44500-e1d1-59e0-b53b-e0e98b24a7cf,a71f4bf4-a78e-5fa3-a8bd-e34ee2c97dcd,91,48,2024-01-01 14:28:04+00,2024-01-01 15:05:04+00,wms_sync
59414f85-5153-5b10-ab69-54b083664d14,911dae5a-3fe7-551a-b50b-9971e20ae758,dfaf50bf-7ed8-5e30-b115-e55c44d8e0c1,42ad692d-b82d-5a13-91a1-a9fd0fcaf73b,222,105,2024-01-01 14:06:12+00,2024-01-01 15:14:12+00,wms_sync
ca0a669c-e5f2-5de2-a5f3-05e6de7aefbd,6dbb9aa7-99df-57e9-b935-ef72f15ac29e,dfaf50bf-7ed8-5e30-b115-e55c44d8e0c1,6400998a-1542-5bd0-baca-290648d04849,301,103,2024-01-01 14:35:08+00,2024-01-01 15:55:08+00,wms_sync
54ac34c6-3627-5a2a-82c7-26c15c1f2369,14812645-c668-5b3c-bc8b-113077e6fd2b,5abd18e8-de32-5af1-b593-d3190e9164a5,81c0642e-2463-5abd-ae26-b4b567d51419,193,72,2024-01-01 14:04:26+00,2024-01-01 14:41:26+00,wms_sync
9dd2d405-e631-5d19-b858-41f29cb8172d,a34cf84f-bba1-5eeb-9489-fc7108bf4352,5abd18e8-de32-5af1-b593-d3190e9164a5,8517ed2a-3738-5e12-a1bc-f0e872fd3d71,288,113,2024-01-01 14:28:26+00,2024-01-01 15:13:26+00,wms_sync
86c55507-2686-53da-8459-733b0faab548,337f9e0b-72be-5142-95c6-52182355ed9e,98f9ed1d-3d10-5a68-a387-66981e9dde59,6400998a-1542-5bd0-baca-290648d04849,157,105,2024-01-01 14:04:26+00,2024-01-01 15:55:26+00,wms_sync
3ca0baaa-03ee-5d19-93b3-67ef155c304d,b9387aec-1a90-51a0-a259-9fffa88a56d8,98f9ed1d-3d10-5a68-a387-66981e9dde59,81c0642e-2463-5abd-ae26-b4b567d51419,71,41,2024-01-01 14:31:54+00,2024-01-01 15:14:54+00,wms_sync
9947954f-fefa-528a-be9d-093f7f5a6f8e,2ba65457-07fc-53c8-ae42-75985e59878b,b8b98483-157a-5ddb-81bf-f65f95613caa,81c0642e-2463-5abd-ae26-b4b567d51419,182,62,2024-01-01 14:21:14+00,2024-01-01 17:13:14+00,wms_sync
6653aa0b-1c0e-5d50-ad21-253395be05fc,25ac6331-1003-5d31-b60c-cb98319be387,b8b98483-157a-5ddb-81bf-f65f95613caa,6400998a-1542-5bd0-baca-290648d04849,96,44,2024-01-01 14:09:09+00,2024-01-01 16:15:09+00,wms_sync
