id,order_number,customer_id,status,placed_at,due_at,order_value,created_at,updated_at
be0000b5-335e-532f-9f40-75d0225fd948,ORD-2024-00000,e3a0b5f6-9e40-5b9f-9514-4da0f52a8af1,open,2024-03-03 14:41:32+00,2024-03-30 14:41:32+00,20073.75,2024-03-03 14:41:32+00,2025-10-02 09:03:35+00
e17c554d-63f3-5bd1-b043-5f06a240ff22,ORD-2024-00001,7b6fbe50-c057-55b1-bdd3-eb53e1068bee,fulfilled,2024-05-02 20:34:28+00,2024-05-09 20:34:28+00,47835.59,2024-05-02 20:34:28+00,2025-10-02 09:10:21+00
22f6a829-5117-5f9a-aeff-d1f197e49dad,ORD-2025-00002,1498b09c-b2ae-525a-a957-58006166da45,fulfilled,2025-03-30 20:34:51+00,2025-04-09 20:34:51+00,4848.9,2025-03-30 20:34:51+00,2025-10-02 09:07:10+00
4c3001d4-a99c-5ec6-aa8a-91b8ed1895e9,ORD-2024-00003,1b07bc05-4c0a-5d19-a568-b3b995dbf612,open,2024-09-11 16:15:13+00,2024-09-23 16:15:13+00,8739.25,2024-09-11 16:15:13+00,2025-10-02 09:25:21+00
eb228a30-2a14-57a1-87b7-cdfd30a631d4,ORD-2024-00004,95aba740-cee5-570e-8c00-983d17ef7a6f,fulfilled,2024-10-09 17:27:38+00,2024-10-29 17:27:38+00,21304.21,2024-10-09 17:27:38+00,2025-10-02 09:28:00+00
8cc54e90-d6dc-536c-960a-f855d27beef5,ORD-2024-00005,beb93785-51bc-5870-a5c5-a875a0aac169,fulfilled,2024-06-15 20:16:17+00,2024-06-28 20:16:17+00,27037.72,2024-06-15 20:16:17+00,2025-10-02 09:01:11+00
96c97944-8493-5424-9ec2-5b3908878804,ORD-2024-00006,de69bd87-c78a-58a5-9513-942fd4e74825,fulfilled,2024-11-21 13:35:53+00,2024-12-14 13:35:53+00,33808.41,2024-11-21 13:35:53+00,2025-10-02 09:21:30+00
c0286eb0-c752-59d4-b6b2-d464280657f8,ORD-2024-00007,67e387dc-daeb-59e4-8fb2-e214d43fb450,fulfilled,2024-05-19 19:36:41+00,2024-06-07 19:36:41+00,24620.28,2024-05-19 19:36:41+00,2025-10-02 09:20:49+00
def79673-74dd-5c1d-a83a-3e4f5f59f31e,ORD-2024-00008,500b7e43-c5c7-5f6a-979b-f85e0b181bff,fulfilled,2024-11-01 17:21:04+00,2024-11-13 17:21:04+00,25475.12,2024-11-01 17:21:04+00,2025-10-02 09:05:32+00
dcc15fed-39a6-5002-bfe8-8ac5b00fd9f1,ORD-2024-00009,b46a4a7b-b1f2-5183-a41d-8f042adb219e,fulfilled,2024-02-18 22:27:25+00,2024-03-19 22:27:25+00,24782.31,2024-02-18 22:27:25+00,2025-10-02 09:03:34+00
9d7c77c3-d842-5f75-89dd-9b50b1f18b0c,ORD-2025-00010,ec7d79e8-904e-5234-8745-1dc22fbdb5f4,fulfilled,2025-04-24 21:40:48+00,2025-05-24 21:40:48+00,4265.51,2025-04-24 21:40:48+00,2025-10-02 09:06:59+00
35dd74f5-093c-58b7-8210-f311dd391aa2,ORD-2024-00011,8d9417d8-6bc9-5a0d-ba9b-f63932cd4c8e,fulfilled,2024-04-29 00:26:30+00,2024-05-17 00:26:30+00,49515.22,2024-04-29 00:26:30+00,2025-10-02 09:17:39+00
bb98f3fb-ab3a-5dad-8025-e094f73f8f49,ORD-2024-00012,74e292b8-0d9e-5e1e-87d6-047af5212565,fulfilled,2024-01-18 23:29:24+00,2024-02-11 23:29:24+00,15106.0,2024-01-18 23:29:24+00,2025-10-02 09:28:35+00
31528371-ed59-5e61-8444-2458efc5e044,ORD-2024-00013,d40aa31e-3e70-58bb-a4e5-3fcbd58f0b9f,open,2024-09-17 17:27:51+00,2024-10-15 17:27:51+00,37698.49,2024-09-17 17:27:51+00,2025-10-02 09:10:42+00
af933771-6272-5f91-a23c-9f97cb37a3e9,ORD-2024-00014,8f4c72e6-6ad9-5d25-8b64-dfb9b47dfc54,fulfilled,2024-06-22 18:38:45+00,2024-07-03 18:38:45+00,17023.51,2024-06-22 18:38:45+00,2025-10-02 09:15:23+00
