id,shipment_id,status,previous_status,changed_at,recorded_at,source
6f36819b-a401-5c22-8c86-93c6265d81ba,189a45f5-b5c0-54e3-a6c1-9cad1fa55c02,scheduled,,2024-09-13 13:26:34+00,2024-09-13 14:05:34+00,carrier_feed
8ce89215-671f-51c8-8e1a-067ef584a857,189a45f5-b5c0-54e3-a6c1-9cad1fa55c02,in_transit,scheduled,2024-09-14 18:35:17+00,2024-09-14 18:53:17+00,carrier_feed
9503efce-e633-5883-8c2b-476008e896c9,189a45f5-b5c0-54e3-a6c1-9cad1fa55c02,delayed,in_transit,2024-09-20 00:57:25+00,2024-09-20 01:02:25+00,carrier_feed
1821c8e0-fe0f-57ab-b0fd-5d683b2c7e48,189a45f5-b5c0-54e3-a6c1-9cad1fa55c02,delivered,delayed,2024-09-27 19:09:39+00,2024-09-27 19:49:39+00,carrier_feed
e40bd0a8-e195-5c8f-aa1c-be140f6311da,9d0ed72d-d6c0-5f65-977d-932a5cb62efb,scheduled,,2024-08-20 20:44:01+00,2024-08-20 21:02:01+00,carrier_feed
ac19c8f9-1348-587f-9493-5bb8f47e13f4,9d0ed72d-d6c0-5f65-977d-932a5cb62efb,in_transit,scheduled,2024-08-23 02:28:34+00,2024-08-23 02:44:34+00,carrier_feed
20915c34-d513-5096-a3b2-8b0839a66df2,9d0ed72d-d6c0-5f65-977d-932a5cb62efb,delivered,in_transit,2024-08-30 07:00:27+00,2024-08-30 07:06:27+00,carrier_feed
ff6658c6-1750-5c24-b32b-791a07a7f144,3462435a-0cac-5940-b9bf-4429eecbd2c9,scheduled,,2024-08-08 22:55:34+00,2024-08-08 23:37:34+00,carrier_feed
0fcb632d-a489-56c6-a61f-c5b70dff48ee,3462435a-0cac-5940-b9bf-4429eecbd2c9,in_transit,scheduled,2024-08-10 02:26:06+00,2024-08-10 02:36:06+00,carrier_feed
52a5cd6c-084e-5535-b55e-483c40d9dcf0,3462435a-0cac-5940-b9bf-4429eecbd2c9,delivered,in_transit,2024-08-12 10:08:04+00,2024-08-12 10:32:04+00,carrier_feed
4dc41ec2-7b8e-549f-9ea9-87ece4a106a8,8f631bc2-c880-5b53-8c41-c593c6fe8d2d,scheduled,,2024-01-04 20:11:39+00,2024-01-04 20:30:39+00,carrier_feed
8c62633c-bb69-5a08-901f-65ff75fcd4f2,8f631bc2-c880-5b53-8c41-c593c6fe8d2d,in_transit,scheduled,2024-01-08 04:38:49+00,2024-01-08 05:23:49+00,carrier_feed
67aa34c4-384a-5efb-a2ee-ba86ad6b5ca0,8f631bc2-c880-5b53-8c41-c593c6fe8d2d,delivered,in_transit,2024-01-16 21:58:51+00,2024-01-16 22:10:51+00,carrier_feed
c508d13c-a246-5e70-8987-b445f928f827,3cdedf14-7e0c-50e9-9b11-dff5074e6eb2,scheduled,,2024-08-11 18:46:53+00,2024-08-11 19:27:53+00,carrier_feed
f153b2f2-7cae-531f-b9f0-2accdffe84c6,3cdedf14-7e0c-50e9-9b11-dff5074e6eb2,in_transit,scheduled,2024-08-13 04:23:40+00,2024-08-13 04:43:40+00,carrier_feed
ff285557-196b-56bc-9b1a-bd34615c3499,3cdedf14-7e0c-50e9-9b11-dff5074e6eb2,delivered,in_transit,2024-08-16 23:28:38+00,2024-08-17 00:07:38+00,carrier_feed
e9f17fb5-d5ad-56e9-ab79-c916cd48793e,bc2bc3d0-5c15-534b-9a24-782acea0a7f9,scheduled,,2024-08-03 00:26:39+00,2024-08-03 00:47:39+00,carrier_feed
6baef740-10a5-592f-8894-e4e6a4bee385,bc2bc3d0-5c15-534b-9a24-782acea0a7f9,in_transit,scheduled,2024-08-06 04:29:29+00,2024-08-06 04:38:29+00,carrier_feed
8e6f4736-db8f-5def-a87a-1b2ac02a45d0,bc2bc3d0-5c15-534b-9a24-782acea0a7f9,delivered,in_transit,2024-08-08 07:12:51+00,2024-08-08 07:38:51+00,carrier_feed
5a2bcc22-8b67-58e4-ac5e-a56ec7641803,c505934b-d68c-517c-99a4-82609db2d349,scheduled,,2024-11-16 02:47:21+00,2024-11-16 03:07:21+00,carrier_feed
922ea082-5b71-5cce-a5c6-0997c35af517,c505934b-d68c-517c-99a4-82609db2d349,in_transit,scheduled,2024-11-17 08:29:57+00,2024-11-17 08:39:57+00,carrier_feed
32442d1a-d303-5008-8bab-48e362a405fe,c505934b-d68c-517c-99a4-82609db2d349,delivered,in_transit,2024-11-21 22:45:37+00,2024-11-21 22:54:37+00,carrier_feed
92eaf967-4c91-5b4b-909c-613ff9893d1c,755862e9-0471-50a4-98fd-1607d65dc412,scheduled,,2024-10-04 17:07:18+00,2024-10-04 17:45:18+00,carrier_feed
9bf582ae-149e-5214-b623-af12188c89d2,755862e9-0471-50a4-98fd-1607d65dc412,in_transit,scheduled,2024-10-08 01:41:47+00,2024-10-08 02:24:47+00,carrier_feed
b58b9f6a-d729-5808-9355-534ac02642a2,755862e9-0471-50a4-98fd-1607d65dc412,delivered,in_transit,2024-10-14 21:46:21+00,2024-10-14 22:01:21+00,carrier_feed
8f4eb13e-886b-565e-b727-2a371946b551,713693e5-8566-5c8e-b8cd-a4e94cf678d3,scheduled,,2024-11-28 19:13:26+00,2024-11-28 19:32:26+00,carrier_feed
0d4aaa3d-d404-51be-87ea-48c81254760a,713693e5-8566-5c8e-b8cd-a4e94cf678d3,in_transit,scheduled,2024-12-01 00:42:37+00,2024-12-01 00:50:37+00,carrier_feed
8ec55f84-cf3d-5709-a738-15e6b644a9d6,713693e5-8566-5c8e-b8cd-a4e94cf678d3,delayed,in_transit,2024-12-06 06:47:07+00,2024-12-06 07:22:07+00,carrier_feed
a09ff57d-7d0e-53cf-98b2-c6745529c71e,713693e5-8566-5c8e-b8cd-a4e94cf678d3,delivered,delayed,2024-12-10 01:07:18+00,2024-12-10 01:26:18+00,carrier_feed
005983c7-80af-556e-9165-d73b02e6aeb2,8d8cbe11-0842-5f50-8725-ae5dff111401,scheduled,,2024-02-29 23:23:41+00,2024-02-29 23:33:41+00,carrier_feed
322d20d5-ea0e-5955-9135-c534cf3abb98,8d8cbe11-0842-5f50-8725-ae5dff111401,in_transit,scheduled,2024-03-01 01:07:29+00,2024-03-01 01:26:29+00,carrier_feed
3006eced-c500-584f-a1a7-c68b50fbb141,8d8cbe11-0842-5f50-8725-ae5dff111401,delivered,in_transit,2024-03-08 01:29:21+00,2024-03-08 02:11:21+00,carrier_feed
21bcd064-3a79-50b2-b2e2-b670818a5045,a6ab7fa3-437a-5d27-b69e-dfb08010ebcc,scheduled,,2024-10-20 00:10:14+00,2024-10-20 00:44:14+00,carrier_feed
81fd42df-94ee-5b2d-8936-f1cf31cf02a1,a6ab7fa3-437a-5d27-b69e-dfb08010ebcc,in_transit,scheduled,2024-10-22 09:36:35+00,2024-10-22 09:50:35+00,carrier_feed
28d1bb0d-1121-5b68-bd94-3199add8af47,a6ab7fa3-437a-5d27-b69e-dfb08010ebcc,delivered,in_transit,2024-10-27 16:16:07+00,2024-10-27 16:57:07+00,carrier_feed
264fa556-2d45-5c1b-a0e4-6115381e3f5b,9c88ad35-ea60-5cbb-aab6-10d56460bba1,scheduled,,2024-05-14 22:38:09+00,2024-05-14 23:17:09+00,carrier_feed
eba9133d-d49f-531c-8662-5e79cff25033,9c88ad35-ea60-5cbb-aab6-10d56460bba1,in_transit,scheduled,2024-05-18 02:10:52+00,2024-05-18 02:48:52+00,carrier_feed
1bbceffc-3793-51fe-aad0-aa7a41322def,9c88ad35-ea60-5cbb-aab6-10d56460bba1,delivered,in_transit,2024-05-22 00:41:32+00,2024-05-22 01:16:32+00,carrier_feed
d7654164-35c5-542a-930c-440778834b48,ad3568e6-a2e0-55ed-acd1-fef475a34eff,scheduled,,2024-05-09 00:15:36+00,2024-05-09 00:31:36+00,carrier_feed
d0389567-2394-59bd-9d35-dded1dffb8d5,ad3568e6-a2e0-55ed-acd1-fef475a34eff,in_transit,scheduled,2024-05-12 05:27:32+00,2024-05-12 06:05:32+00,carrier_feed
961d43d9-5cd1-5132-9eac-4644d8a89826,ad3568e6-a2e0-55ed-acd1-fef475a34eff,delivered,in_transit,2024-05-14 01:41:26+00,2024-05-14 02:14:26+00,carrier_feed
bd05cf36-fd2c-5bea-aebf-ab49e4359dc6,744449d6-f021-58c6-8ab9-47e15a404d53,scheduled,,2024-07-26 19:57:40+00,2024-07-26 20:31:40+00,carrier_feed
00b708b9-84cc-5984-b534-2bcbeb865f8a,744449d6-f021-58c6-8ab9-47e15a404d53,in_transit,scheduled,2024-07-26 23:05:21+00,2024-07-26 23:14:21+00,carrier_feed
1b8fedb8-cc03-5e9b-89e9-ba10fe3a2b6c,744449d6-f021-58c6-8ab9-47e15a404d53,delivered,in_transit,2024-07-30 02:42:52+00,2024-07-30 03:00:52+00,carrier_feed
32a09bc2-1cf8-58cc-b68e-e85427f44b1e,976c404b-cea6-5085-8cf5-733141224c9a,scheduled,,2024-03-08 15:45:45+00,2024-03-08 15:52:45+00,carrier_feed
31d976df-f0bb-5a9a-ac32-b4a7b452c387,976c404b-cea6-5085-8cf5-733141224c9a,in_transit,scheduled,2024-03-09 01:00:13+00,2024-03-09 01:24:13+00,carrier_feed
818bc009-ba46-5fb9-b488-5b9becf66624,976c404b-cea6-5085-8cf5-733141224c9a,delivered,in_transit,2024-03-12 22:03:16+00,2024-03-12 22:17:16+00,carrier_feed
04421ae1-936e-5f65-b844-133f8b6af3c5,02d5e75b-4f6b-5e62-a096-ba2f36c9e5ff,scheduled,,2024-07-29 17:29:39+00,2024-07-29 17:48:39+00,carrier_feed
