id,name,country,capacity_score,lead_time_days,reliability_history,is_active,created_at,updated_at
afa15ef0-34ab-58ff-ad47-8060502e5f84,CHI-Precision Supply 00,China,23.54,25,0.7772,true,2025-01-02 09:06:40+00,2025-01-02 09:06:40+00
b3288dd6-e3cd-5ec3-a951-39986285505b,VIE-Alloy Supply 01,Vietnam,53.72,21,0.7186,true,2025-01-02 09:23:13+00,2025-01-02 09:23:13+00
bed19e03-5ade-5692-8a4e-81fb3e8f965d,IND-Poly Supply 02,India,71.62,33,0.9033,true,2025-01-02 09:09:46+00,2025-01-02 09:09:46+00
3dffa708-7186-5ce1-9e9c-96972e56f8bf,GER-Micro Supply 03,Germany,102.88,19,0.9567,true,2025-01-02 09:26:57+00,2025-01-02 09:26:57+00
d6589668-bf03-550c-93d5-57ece0241efc,USA-Global Supply 04,USA,38.2,5,0.6605,true,2025-01-02 09:12:57+00,2025-01-02 09:12:57+00
9981b718-1ab2-586a-ac86-82ab2f6f445c,MEX-Prime Supply 05,Mexico,41.31,6,0.8025,true,2025-01-02 09:14:20+00,2025-01-02 09:14:20+00
9df2da2e-507c-507e-b146-3af5cb0eb852,CHI-Nova Supply 06,China,55.97,30,0.8063,true,2025-01-02 09:29:00+00,2025-01-02 09:29:00+00
224ca423-2c12-5113-bbd1-50eab06cf470,VIE-Delta Supply 07,Vietnam,61.34,18,0.7433,true,2025-01-02 09:00:43+00,2025-01-02 09:00:43+00
960f8f6e-5384-5c35-bfda-77ba61e7822e,IND-Precision Supply 08,India,43.85,26,0.8035,true,2025-01-02 09:26:50+00,2025-01-02 09:26:50+00
8c61a3ad-eb5d-59bc-9d10-16ddbfa7f8b0,GER-Alloy Supply 09,Germany,33.82,9,0.9597,true,2025-01-02 09:14:45+00,2025-01-02 09:14:45+00
ea344b5b-a6fa-5c52-a82d-6aca1e325dfd,USA-Poly Supply 10,USA,58.97,6,0.9416,true,2025-01-02 09:18:10+00,2025-01-02 09:18:10+00
a204cedc-9bbc-5113-b524-27b81d9b9e2d,MEX-Micro Supply 11,Mexico,60.77,15,0.8725,true,2025-01-02 09:24:42+00,2025-01-02 09:24:42+00
c809308b-6bd0-5e7f-8fed-63aa0be429db,CHI-Global Supply 12,China,38.23,44,0.9622,true,2025-01-02 09:19:35+00,2025-01-02 09:19:35+00
b518e4a1-8b14-5e0f-a7c6-0b6631fe0a5a,CHI-Prime Supply 13,China,62.37,26,0.8907,true,2025-01-02 09:21:51+00,2025-01-02 09:21:51+00
43b32e98-5a29-5473-b8a5-4357668f5f74,MEX-Nova Supply 14,Mexico,83.56,11,0.7549,true,2025-01-02 09:19:17+00,2025-01-02 09:19:17+00
8f1f2a54-a01e-54a1-9234-72cb24fac6ff,GER-Delta Supply 15,Germany,85.71,12,0.9553,true,2025-01-02 09:27:37+00,2025-01-02 09:27:37+00
48e2fe7c-35ad-5935-824d-697bfa8226f3,CHI-Precision Supply 16,China,106.55,19,0.845,true,2025-01-02 09:24:19+00,2025-01-02 09:24:19+00
f94dbc7c-8aca-554e-ad3f-4e1fa92c88e7,USA-Alloy Supply 17,USA,33.89,6,0.9119,true,2025-01-02 09:25:05+00,2025-01-02 09:25:05+00
f478ae52-7c2a-5617-95bb-5f296860910f,MEX-Poly Supply 18,Mexico,104.54,7,0.9363,true,2025-01-02 09:05:10+00,2025-01-02 09:05:10+00
80102db8-d5d3-5b2c-9e54-5b4fbebca6eb,MEX-Micro Supply 19,Mexico,31.36,13,0.9116,true,2025-01-02 09:25:33+00,2025-01-02 09:25:33+00
c27afee2-997d-5290-a74e-2530422664f5,CHI-Global Supply 20,China,36.35,34,0.8713,true,2025-01-02 09:08:43+00,2025-01-02 09:08:43+00
7126e422-addd-5f29-b3f2-b752caf2e66c,CHI-Prime Supply 21,China,142.95,31,0.8914,true,2025-01-02 09:16:03+00,2025-01-02 09:16:03+00
7910ac44-1e40-56bb-9ab8-d9ba56ac335c,USA-Nova Supply 22,USA,47.88,8,0.6366,true,2025-01-02 09:03:28+00,2025-01-02 09:03:28+00
b9aec7bd-f7f9-55cb-b673-5177ddff5e0d,CHI-Delta Supply 23,China,95.92,24,0.6484,true,2025-01-02 09:12:13+00,2025-01-02 09:12:13+00
b0a44c22-e899-52ff-98a1-85dc4e254380,USA-Precision Supply 24,USA,45.07,10,0.9245,true,2025-01-02 09:16:14+00,2025-01-02 09:16:14+00
eee4f3d5-a93a-5cf2-85cd-907416aee337,USA-Alloy Supply 25,USA,88.73,11,0.9453,true,2025-01-02 09:26:36+00,2025-01-02 09:26:36+00
