
================================================================================================
SEED-VARIANCE BAND  (5 seeds)
================================================================================================
  one code state across all seeds: True  commits=['71de78afa645']
  metric                                                                 mean          min          max       cv
  capacity.declared_over_latent_median                                 1.1676       1.1626        1.175   0.0040
  capacity.observable_supplier_month_pct                                23.43       20.118       30.687   0.1784
  capacity.revealed_est_non_null_pct                                    23.43       20.118       30.687   0.1784
  conservation.ordered_units                                       2.6618e+08     2.49e+08   3.0431e+08   0.0825
  conservation.received_units                                      2.1977e+08   2.1031e+08   2.4026e+08   0.0539
  contract_terms_features_only.lot_size_distinct                        273.2          263          281   0.0313
  contract_terms_features_only.max_volume_cap_distinct                 1403.2         1390         1423   0.0100
  contract_terms_features_only.moq_cv                                  1.1946       1.1805       1.2146   0.0113
  contract_terms_features_only.moq_distinct                             548.4          524          563   0.0284
  contract_terms_features_only.penalty_distinct                         15627        15610        15648   0.0010
  contract_terms_features_only.qualification_status_shares.in_progress      0.11548       0.1146       0.1165   0.0074
  contract_terms_features_only.qualification_status_shares.potential      0.05114       0.0493       0.0533   0.0361
  contract_terms_features_only.qualification_status_shares.qualified      0.83336       0.8317       0.8361   0.0022
  demand.peak_trough_ratio                                             1.5701       1.5588       1.5812   0.0054
  entity_population.channel_week_rows                              8.5985e+06   8.5985e+06   8.5985e+06   0.0000
  entity_population.channel_weeks_per_traded_channel                      535          535          535   0.0000
  entity_population.channels_ever_traded                                15334        15333        15334   0.0000
  entity_population.cold_start_share_pct                                4.592        4.592        4.592   0.0000
  entity_population.median_channel_degree_part_plant                        3            3            3   0.0000
  entity_population.po_lines_per_channel_per_year                      6.5592        6.479        6.775   0.0187
  entity_population.sourcing_channels                                   16072        16072        16072   0.0000
  events_per_year.expedite_actions                                     459.95       352.84       656.14   0.2498
  events_per_year.line_stops                                           101.74         81.2        153.8   0.2954
  events_per_year.po_line_revisions                                     21787        18600        28957   0.1883
  events_per_year.po_line_revisions_never_entered                      5452.2         4690         7272   0.1900
  events_per_year.shortage_cause_corroborated_pct                       91.26        89.93        93.03   0.0124
  events_per_year.shortage_cause_labelled_pct                             100          100          100   0.0000
  events_per_year.shortage_condition_weeks                              14438        11850        19789   0.2140
  events_per_year.shortage_events                                      708.24       560.68       968.33   0.2168
  events_per_year.shortage_root_cause_mix.demand_spike                  113.8           99          147   0.1834
  events_per_year.shortage_root_cause_mix.logistics                         2            2            2   0.0000
  events_per_year.shortage_root_cause_mix.plan_change                    16.8            7           28   0.4676
  events_per_year.shortage_root_cause_mix.quality_reject               1115.2          763         1828   0.3698
  events_per_year.shortage_root_cause_mix.supplier_delay               3668.2         2854         5205   0.2462
  events_per_year.shortage_root_cause_mix.supplier_short               2333.8         2004         2727   0.1116
  feedback_arcs.allocation_reviews                                 6.2869e+05   6.2869e+05   6.2869e+05   0.0000
  feedback_arcs.allocation_share_cuts                              1.6216e+05   1.5585e+05   1.7451e+05   0.0448
  feedback_arcs.allocation_share_lifts                             1.6566e+05   1.6031e+05   1.7566e+05   0.0363
  feedback_arcs.alt_sourcing_touched_channels                           14727        14494        15165   0.0180
  feedback_arcs.buyer_revisions                                         55051        44410        78887   0.2472
  feedback_arcs.expedited_po_lines                                     9177.4         6820        13866   0.2953
  feedback_arcs.supplier_revisions                                 1.7337e+05   1.5064e+05   2.2473e+05   0.1698
